symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,electronic_configuration,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,melting_point,name,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,jmol_color,cpk_color,proton_affinity,gas_basicity,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_bondi,vdw_radius_truhlar,vdw_radius_rt,vdw_radius_batsanov,vdw_radius_dreiding,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,molcas_gv_color,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,cas,atomic_radius_rahm,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,wiki_valence,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy
H,1,79.0,14.1,s,20.28,0.0708,4.50711,0.754195,1s,0.904,0.117,1.0,3.75,HEX,14.01,Hydrogen,1,1,,0.1815,110.00000000000001,31.0,32.0,2.2,13.61,#ffffff,#ffffff,,,217.998,6.499026705,,25.0,120.0,,110.00000000000001,,319.5,288.6,162.0,1400.0,108000.0,#f2f2f2,0.2638,120.0,6.51,1.008,,,False,1333-74-0,154.0,,78.0,,,1766.0,105,3e-05,103.0,103.0,1.0,73.0,18618.05194,1.008,0.0,1.0,14.01,2.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.13,1.0,,0.0899,0.31,0.6667930000000001,1.0,73.0,2.1,13.6,37.0,1.0,,13.5984,1.0,0.25,2.2,13.598434005136
He,2,,31.8,s,4.216,0.147,1.38375,-19.7,1s2,0.08,,18.0,3.57,HEX,0.95,Helium,1,2,5.188,0.152,140.0,28.000000000000004,46.0,,24.59,#d9ffff,#ffc0cb,177.8,148.5,,1.42,,,140.0,,,,,236.20000000000002,153.0,0.008,7.000000000000001e-06,#d9ffff,0.442712,143.0,1.47,4.002602,2e-06,,False,7440-59-7,134.0,,122.0,,,1895.0,112,2e-05,1.0,1.0,18.0,0.0,37236.035560000004,4.0026,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.07,0.0,,0.1785,0.28,0.2050522,2.0,0.0,0.0,24.6,32.0,0.0,,24.5873,0.0,,,24.587387936
Li,3,155.0,13.1,s,1118.15,0.534,164.1125,0.618049,[He] 2s,148.0,2.89,1.0,3.49,BCC,553.69,Lithium,2,3,3.489,84.8,182.0,128.0,133.0,0.98,5.392,#cc80ff,#b22222,,,159.3,1392.0,150.0,145.0,181.0,,,220.00000000000003,,245.1,254.99999999999997,20.0,0.18,#cc80ff,0.105093,212.0,1410.0,6.94,,,False,7439-93-2,220.00000000000003,123.0,155.0,124.0,,1817.0,1,0.0005,12.0,12.0,1.0,60.0,21.54405808,6.94,0.0,1.0,453.69,0.98,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1615.0,1.0,1.63,535.0,1.28,24.335,1.0,60.0,0.98,54.7,134.0,1.0,1.63,0.98,1.0,1.45,0.98,5.391714761
Be,4,112.0,5.0,s,3243.0,1.848,37.74,-2.4,[He] 2s2,309.0,12.21,2.0,2.29,HEX,1551.0,Beryllium,2,4,1.824,201.0,153.0,96.0,102.0,1.57,9.323,#c2ff00,#ff1493,,,324.0,227.0,114.99999999999999,105.0,,153.0,,190.0,,274.5,223.0,2.8,5.6e-06,#c2ff00,0.144986,198.0,214.0,9.0121831,5e-07,True,False,7440-41-7,219.0,89.0,112.0,90.0,85.0,1798.0,75,0.03,77.0,77.0,2.0,0.0,8.098176455,9.01218,0.0,2.0,1560.0,1.57,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2743.0,0.0,3.32,1848.0,0.96,5.6,2.0,0.0,1.57,111.5,90.0,2.0,3.32,9.3227,0.0,1.05,1.57,9.322699
B,5,98.0,4.6,p,3931.0,2.34,20.5,0.279723,[He] 2s2 2p,504.5,23.6,13.0,8.73,TET,2573.0,Boron,2,5,1.025,27.4,192.0,84.0,85.0,2.04,12.13,#ffb5b5,#00ff00,,,565.0,99.5,,85.0,,192.0,,180.0,401.99999999999994,408.3,215.0,10.0,4.44,#ffb5b5,0.184886,191.0,99.2,10.81,,,False,7440-42-8,204.99999999999997,80.0,98.0,78.0,73.0,1808.0,81,0.1,86.0,86.0,13.0,27.0,7.297767265,10.81,0.0,2.0,2348.0,2.04,0.0,1.0,0.0,0.0,2.0,5.0,3.0,4273.0,1.0,5.81,2460.0,0.84,3.03,3.0,27.0,2.04,188.0,82.0,3.0,5.81,8.298,1.0,0.85,2.04,8.298019
C,6,91.0,5.3,p,5100.0,2.25,11.3,1.262119,[He] 2s2 2p2,,,14.0,3.57,DIA,3820.0,Carbon,2,1,0.711,1.59,170.0,73.0,75.0,2.55,15.05,#909090,#c8c8c8,,,716.87,46.6,77.0,70.0,170.0,,177.0,170.0,389.83,385.1,204.0,200.0,28.0,#555555,0.22477600000000003,177.0,47.9,12.011,,,False,7440-44-0,190.0,,86.0,67.0,60.0,,87,0.2,95.0,87.0,14.0,154.0,8.825089715,12.011,0.0,2.0,3823.0,2.55,0.0,2.0,0.0,0.0,2.0,4.0,4.0,4300.0,2.0,7.37,2260.0,0.76,1.67,4.0,154.0,2.55,284.2,77.0,4.0,7.37,11.2603,2.0,0.7,2.55,11.260296
N,7,92.0,17.3,p,77.4,0.808,7.4,-1.4,[He] 2s2 2p3,,,15.0,4.039,HEX,63.29,Nitrogen,2,1,,0.026,155.0,71.0,71.0,3.04,18.13,#3050f8,#8f8fff,342.2,318.7,472.44,24.2,65.0,65.0,155.0,,164.0,160.0,366.21000000000004,366.0,193.0,19.0,0.5,#3753bb,0.26493,166.0,25.7,14.007,,,False,7727-37-9,179.0,,53.0,60.0,54.0,1772.0,93,0.2,100.0,88.0,15.0,0.0,18592.49897,14.007,0.0,2.0,63.05,3.04,0.0,3.0,0.0,0.0,2.0,3.0,5.0,77.21,3.0,4.92,1.251,0.71,1.1,5.0,7.0,3.04,37.3,75.0,5.0,4.92,14.5341,3.0,0.65,3.04,14.53413
O,8,,14.0,p,90.19,1.149,5.3,1.4611135,[He] 2s2 2p4,,,16.0,6.83,CUB,54.8,Oxygen,2,1,,0.027,152.0,66.0,63.0,3.44,21.36,#ff0d0d,#f00000,485.2,459.6,249.229,15.6,65.0,60.0,152.0,,158.0,155.0,340.46,350.0,182.0,461000.0,857000.0,#f32e42,0.304575,150.0,16.7,15.999,,,False,7782-44-7,171.0,,,57.0,53.0,1774.0,99,0.2,101.0,97.0,16.0,141.0,18592.19717,15.999,0.0,2.0,54.8,3.44,0.0,4.0,0.0,0.0,2.0,2.0,6.0,90.1,2.0,2.6,1.429,0.66,0.802,6.0,141.0,3.44,41.6,73.0,6.0,2.6,13.618,2.0,0.6,3.44,13.618054
F,9,,17.1,p,85.01,1.108,3.74,3.4011897000000006,[He] 2s2 2p5,6.54,0.51,17.0,,MCL,53.53,Fluorine,2,6,,0.028,147.0,56.99999999999999,64.0,3.98,24.8,#90e050,#daa520,340.1,315.1,79.335,9.52,67.0,50.0,147.0,,146.0,150.0,347.2,336.4,171.0,585.0,1.3,#7fd03b,0.344443,146.0,10.2,18.998403163,6.000000000000001e-09,True,False,7782-41-4,163.0,,,59.0,53.0,1886.0,106,0.08,102.0,102.0,17.0,328.0,18601.60857,18.9984,0.0,2.0,53.5,3.98,0.0,5.0,0.0,0.0,2.0,1.0,7.0,84.88,1.0,0.84,1.696,0.57,0.557,7.0,328.0,3.98,696.7,71.0,7.0,0.84,8.5,1.0,0.5,3.98,17.42282
Ne,10,,16.8,p,27.1,1.204,2.6611,,[He] 2s2 2p6,1.74,,18.0,4.43,FCC,48.0,Neon,2,2,1.029,,154.0,57.99999999999999,67.0,,28.31,#b3e3f5,#ff1493,198.8,174.4,,6.2,,,154.0,,181.0,,,324.3,160.0,0.005,0.00011999999999999999,#b3e3f5,0.38439,158.0,6.91,20.1797,0.0006000000000000001,,False,7440-01-9,156.0,,,96.0,,1898.0,113,3e-05,2.0,2.0,18.0,0.0,37232.18569,20.1797,0.0,2.0,24.56,0.0,0.0,6.0,0.0,0.0,2.0,0.0,8.0,26.92,0.0,0.02,0.9,0.58,0.39432,8.0,0.0,0.0,21.6,69.0,0.0,0.02,21.5645,0.0,,,21.56454
